@relation mfeat-karhunen

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att64 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.191173,0.128265,0.889728,0.39264,0.528227,0.572467,0.428702,0.117245,0.467246,0.775042,0.402174,0.504526,0.545419,0.564552,0.433233,0.535118,0.350903,0.609726,0.479944,0.62679,0.478275,0.40759,0.595107,0.510323,0.398024,0.559621,0.593077,0.406202,0.645824,0.537957,0.424454,0.3399,0.718705,0.591501,0.571304,0.615242,0.385634,0.415351,0.494758,0.314118,0.3061,0.619346,0.500651,0.601138,0.688221,0.390138,0.527857,0.55231,0.431132,0.601177,0.646482,0.359581,0.563689,0.497642,0.605889,0.612774,0.566488,0.485568,0.575015,0.560623,0.564614,0.836661,0.219735,0.433052,1
0.354385,0.08904,0.498033,0.478535,0.488533,0.578197,0.276222,0.227414,0.382112,0.674608,0.318548,0.390599,0.631334,0.354239,0.467942,0.45094,0.57342,0.540556,0.77271,0.683644,0.595178,0.38769,0.469577,0.573205,0.516429,0.540333,0.603329,0.53388,0.43508,0.501828,0.407907,0.527812,0.463519,0.523537,0.435919,0.571286,0.380306,0.409589,0.660272,0.444245,0.493379,0.528315,0.772269,0.507274,0.416821,0.456428,0.182134,0.370951,0.266268,0.558351,0.495349,0.328879,0.335738,0.309769,0.588639,0.877914,0.699784,0.256857,0.752063,0.505457,0.60337,0.618422,0.565718,0.595312,1
0.211582,0.289563,0.505851,0.404323,0.366873,0.543054,0.24342,0.467955,0.359624,0.805322,0.188115,0.5702,0.390073,0.621086,0.319285,0.18784,0.463139,0.40604,0.654176,0.715295,0.346526,0.698339,0.472426,0.476473,0.580917,0.538222,0.603139,0.247183,0.349473,0.545032,0.2435,0.502563,0.647467,0.668952,0.27037,0.513714,0.749968,0.424118,0.564488,0.419235,0.327432,0.599081,0.484918,0.533058,0.442502,0.692542,0.361717,0.450955,0.261232,0.738166,0.664277,0.295227,0.627848,0.523993,0.416371,0.488549,0.492001,0.742765,0.446254,0.381936,0.837747,0.718921,0.597774,0.239905,1
0.304303,0.277075,0.633523,0.38424,0.504526,0.565522,0.139199,0.216033,0.342108,0.665633,0.381005,0.519815,0.628184,0.689985,0.372912,0.393388,0.580024,0.145421,0.506531,0.721472,0.492801,0.551622,0.643591,0.46278,0.434468,0.626841,0.389411,0.323126,0.416554,0.444042,0.320302,0.497047,0.532149,0.581775,0.534307,0.273314,0.558089,0.280818,0.636508,0.364628,0.621163,0.485315,0.539351,0.452686,0.494388,0.599263,0.584395,0.494701,0.596216,0.531734,0.448175,0.303952,0.589457,0.392282,0.346719,0.354356,0.466406,0.30485,0.69896,0.498876,0.266488,0.388613,0.320316,0.549319,1
0.179772,0.150561,0.499175,0.474083,0.448437,0.255569,0.198479,0.335144,0.496782,0.567718,0.33665,0.395335,0.530299,0.458727,0.34578,0.515377,0.550128,0.633391,0.637813,0.656415,0.714382,0.343771,0.480611,0.529998,0.531392,0.508797,0.552531,0.567559,0.537641,0.571135,0.531687,0.503585,0.193376,0.455655,0.410906,0.387127,0.369583,0.460211,0.616892,0.330347,0.392728,0.482492,0.544773,0.71907,0.735626,0.700773,0.238208,0.637971,0.333861,0.650121,0.497079,0.451913,0.505337,0.368154,0.488318,0.681954,0.316418,0.102154,0.424507,0.738755,0.591439,0.587634,0.29056,0.675432,1
0.617263,0.377807,0.453778,0.589202,0.245615,0.471565,0.181221,0.338201,0.700343,0.48231,0.621404,0.742834,0.893982,0.567526,0.48022,0.686895,0.413612,0.581171,0.6978,0.612692,0.605271,0.466619,0.252647,0.861694,0.373012,0.891546,0.390913,0.596943,0.601318,0.359061,0.336724,0.621812,0.79191,0.789426,0.64279,0.166285,0.700248,0.340177,0.808882,0.118893,0.728487,0.530367,0.306009,0.812854,0.53723,0.425535,0.60563,0.695556,0.373861,0.650755,0.653607,0.822497,0.591334,0.42482,0.397571,0.609363,0.56999,0.295152,0.422912,0.545335,0.323531,0.414033,0.700756,0.750058,1
0.076702,0.194443,0.835996,0.352638,0.509067,0.349315,0.322322,0.385619,0.476507,0.528116,0.403503,0.504073,0.532579,0.627199,0.419196,0.530305,0.387627,0.532177,0.372718,0.660986,0.558393,0.509797,0.599507,0.570266,0.530773,0.515682,0.55581,0.378099,0.635725,0.724288,0.372414,0.506253,0.382976,0.490589,0.572767,0.361309,0.542022,0.594855,0.577412,0.33944,0.310054,0.667866,0.513806,0.477355,0.559158,0.552036,0.526797,0.745593,0.448935,0.589079,0.589052,0.478637,0.711382,0.594165,0.328014,0.281055,0.350665,0.402621,0.473138,0.506,0.685271,0.473255,0.718437,0.641284,1
0.170869,0.139183,0.645521,0.37297,0.403119,0.394414,0.158986,0.197025,0.394976,0.695216,0.376159,0.345854,0.518304,0.487722,0.373141,0.475702,0.471167,0.440406,0.548046,0.54675,0.46692,0.388744,0.537747,0.275707,0.414046,0.538316,0.630545,0.514332,0.513007,0.543634,0.386206,0.388755,0.49714,0.643568,0.505353,0.484477,0.313026,0.416731,0.557614,0.536996,0.48054,0.555512,0.403635,0.547824,0.50948,0.735163,0.419292,0.471043,0.371956,0.560373,0.413563,0.539802,0.8112,0.459486,0.456773,0.406074,0.464749,0.717372,0.667468,0.652453,0.559049,0.52843,0.625155,0.541571,1
0.102939,0.085275,0.916315,0.363066,0.478221,0.390771,0.543913,0.496449,0.519425,0.637711,0.395806,0.444099,0.567901,0.463577,0.436908,0.640253,0.21858,0.568966,0.477647,0.443151,0.624748,0.481263,0.592145,0.608149,0.41743,0.507694,0.63248,0.553466,0.584012,0.610038,0.24059,0.487435,0.490947,0.492906,0.595327,0.368071,0.585674,0.715227,0.424687,0.344922,0.279572,0.497382,0.435928,0.452483,0.472488,0.544101,0.58866,0.411668,0.42709,0.682794,0.570856,0.564269,0.480414,0.513059,0.539496,0.479144,0.596817,0.560135,0.475437,0.428552,0.555676,0.706205,0.355981,0.575303,1
0.189999,0.336621,0.773154,0.446896,0.470548,0.558562,0.365123,0.503072,0.410315,0.656175,0.245309,0.613125,0.532682,0.630653,0.322597,0.305512,0.568966,0.411959,0.6359,0.795026,0.395569,0.706419,0.482247,0.796347,0.649662,0.644454,0.660319,0.258687,0.360396,0.435041,0.370111,0.64012,0.412035,0.731153,0.630322,0.528096,0.642645,0.408683,0.628148,0.208845,0.377656,0.548276,0.59529,0.510167,0.522024,0.417241,0.522805,0.439328,0.593206,0.730403,0.659601,0.340604,0.536078,0.329453,0.504309,0.382445,0.331047,0.791703,0.592822,0.372503,0.453369,0.627631,0.595403,0.510553,1
