@relation plant-margin

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99}

@data
0.044441,0.019046,0.162792,0.195404,0.07017,0.056603,0.255325,0.187488,0,0.16,0.125,0.275861,0.061033,0,0.235295,0,0.393946,0.076086,0.265625,0.17242,0.25001,0.031248,0,0.049997,0.023808,0.522725,0,0.390244,0.223679,0.131148,0.034481,0,0.162793,0.066662,0.190477,0.173912,0.257142,0.236102,0.235295,0.05405,0.018691,0.340425,0.299992,0.242425,0.252754,0.086951,0.277776,0.20213,0,0.297874,0.044772,0.023254,0.420005,0,0.083332,0,0.093744,0.310347,0.10853,0.369563,0.045451,0,0.140624,0,0
0.066662,0.066667,0.162792,0.149429,0.122806,0.094339,0.212764,0,0.023254,0.219997,0.062496,0.068962,0.032864,0.047616,0.147065,0,0.696973,0.032609,0.062496,0.55172,0.17308,0.031248,0,0.024998,0.023808,0.431811,0,0.365856,0.171052,0.327866,0.034481,0,0.418604,0,0.333338,0.173912,0.285712,0.208327,0.35295,0.081076,0.018691,0.191487,0.216665,0.181822,0.142863,0.065213,0.333327,0.180854,0,0.170212,0.089553,0.046509,0.379997,0.01515,0.124995,0,0.343744,0.155174,0.186049,0.065213,0.090903,0.051279,0.375,0,0
0.133336,0.009523,0.162792,0.264371,0.157891,0.138364,0.255325,0,0.046509,0.199998,0.140624,0.103442,0.023475,0.071424,0.235295,0,0.424247,0.048912,0.156248,0.344821,0.23078,0.031248,0,0.150003,0.023808,0.499999,0,0.146345,0.157895,0.295081,0.01724,0.015384,0.325587,0,0.047616,0.19565,0.400006,0.236102,0.11764,0.027025,0.037382,0.382975,0.133331,0.181822,0.153851,0.043475,0.111113,0.106384,0.018181,0.148937,0.044772,0.093018,0.699998,0.0303,0.249989,0,0.25,0.189655,0.224811,0.1087,0.090903,0,0.125,0,0
0.155557,0.057144,0.220927,0.103449,0.105264,0.283017,0.255325,0,0,0.280003,0.171872,0.17242,0.032864,0.023808,0.205885,0,0.333328,0.048912,0.093752,0.48276,0.09616,0.062496,0,0.150003,0,0.590902,0.023808,0.2439,0.092104,0.098363,0.034481,0,0.325587,0,0.166669,0.08695,0.257142,0.24999,0.323525,0,0.018691,0.382975,0.233331,0.242425,0.16484,0.086951,0.111113,0.127665,0,0.191488,0.074629,0.093018,0.539998,0.0303,0.111107,0.035712,0.343744,0.258625,0.131784,0.043475,0,0.025639,0.218752,0,0
0.088883,0.047621,0.162792,0.149429,0.017542,0.018867,0.170213,0,0.069763,0.179999,0.312496,0.137922,0.103286,0.023808,0.11764,0,0.272726,0.076086,0.203128,0.068961,0.19231,0.062496,0,0.125005,0.047616,0.204542,0.023808,0.121956,0.210523,0.131148,0.01724,0.015384,0.441858,0,0.142861,0.413037,0.228572,0.277765,0.147065,0.027025,0,0.553187,0.2,0.090903,0.32968,0.043475,0.148147,0.117022,0.018181,0.170212,0.179107,0.069763,0.280003,0,0.166664,0.035712,0.343744,0.431039,0.224811,0.217388,0,0,0.109376,0,0
0.177777,0.019046,0.093023,0.275865,0.122806,0.207545,0.191488,0.124992,0,0.339999,0.109376,0.17242,0.056339,0,0.205885,0,0.484849,0.076086,0.140624,0.275861,0.11539,0,0,0.099994,0,0.318182,0,0.195122,0.184209,0.262296,0.01724,0.015384,0.162793,0.133324,0.190477,0.304349,0.02857,0.15277,0.235295,0.05405,0.009345,0.276599,0.249996,0.212124,0.219783,0.108699,0.240742,0.170216,0,0.212763,0.014924,0,0.519999,0.0303,0.041662,0.035712,0.343744,0.155174,0.162794,0.19565,0.090903,0.025639,0.328128,0,0
0.088883,0.15238,0.290695,0.091955,0.052627,0.044025,0.340426,0,0.116284,0.179999,0.375,0.103442,0.093895,0.047616,0.05882,0,0.51515,0.054346,0.25,0.2069,0.13462,0.031248,0,0.049997,0.023808,0.181817,0,0.170733,0.197366,0.06557,0.034481,0,0.279078,0,0.166669,0.369562,0.314282,0.208327,0.08823,0.081076,0.009345,0.680849,0.183326,0.121204,0.098903,0.021738,0.222225,0.07447,0,0.276599,0.089553,0.046509,0.34,0,0.236102,0,0.124992,0.310347,0.147287,0.239126,0.090903,0.025639,0.25,0.021738,0
0.266671,0.066667,0.232554,0.091955,0.22807,0.081761,0.255325,0,0.116284,0.219997,0.109376,0.17242,0.084506,0.071424,0.235295,0,0.51515,0.021737,0.093752,0.17242,0.23078,0.031248,0,0.175002,0.047616,0.522725,0.047616,0.268289,0.315784,0.147541,0.034481,0.030768,0.418604,0,0.119053,0.152174,0.371436,0.291659,0.205885,0.05405,0,0.212763,0.2,0.212124,0.142863,0.043475,0.185181,0.138303,0.018181,0.148937,0.044772,0,0.500001,0.04545,0.166664,0.035712,0.343744,0.103452,0.100778,0.1087,0,0.051279,0.171872,0.065213,0
0.088883,0.066667,0.174419,0.126436,0.087721,0.100628,0.170213,0,0.023254,0.440004,0.015624,0.2069,0.046947,0,0.205885,0,0.363645,0.016303,0.046872,0.344821,0.25001,0.062496,0,0.224998,0.023808,0.318182,0,0.29269,0.157895,0.409837,0.051721,0.015384,0.279078,0.199986,0.285721,0.043475,0.285712,0.180552,0.441181,0.108101,0.028036,0.191487,0.299992,0.303027,0.065937,0.108699,0.222225,0.20213,0,0.148937,0.074629,0,0.699998,0.0303,0.15277,0.071423,0.562496,0.103452,0.147287,0.1087,0.045451,0.025639,0.218752,0,0
0.222219,0.047621,0.139537,0.18391,0.192976,0.176101,0.2766,0.124992,0,0.219997,0.093752,0.2069,0.037558,0,0.264705,0,0.454548,0.043478,0.203128,0.137922,0.28847,0.124992,0,0.224998,0,0.318182,0,0.414633,0.105261,0.295081,0.051721,0,0.302332,0.066662,0.261901,0.173912,0.114278,0.069445,0.294115,0.027025,0.046732,0.170212,0.183326,0.333328,0.12088,0.152175,0.092596,0.308519,0.018181,0.106387,0.029848,0.023254,0.440004,0.0606,0.291659,0,0.25,0.086212,0.147287,0.043475,0.090903,0.025639,0.218752,0,0
0.066662,0.104759,0.2093,0.091955,0.052627,0.018867,0.2766,0,0.139538,0.219997,0.343752,0.103442,0.070422,0.047616,0.08823,0,0.424247,0.065218,0.187504,0.2069,0.19231,0.031248,0,0.150003,0.023808,0.249994,0,0.097555,0.28947,0.032785,0.01724,0,0.255811,0,0.047616,0.260874,0.314282,0.09722,0.176475,0,0.018691,0.6383,0.116665,0.121204,0.428583,0.043475,0.296293,0.255324,0,0.234038,0.194031,0.023254,0.179999,0,0.111107,0,0.218752,0.362078,0.155039,0.152175,0.136354,0.051279,0.203128,0.021738,0
0.266671,0.133333,0.046509,0.103449,0.052627,0.037736,0.234039,0,0,0.179999,0.453128,0.17242,0.122064,0,0.205885,0,0.545451,0.135867,0.234376,0.17242,0.17308,0.031248,0,0.074995,0,0.113639,0,0.121956,0.210523,0.016392,0.034481,0.030768,0.348841,0,0.119053,0.478261,0.228572,0.055551,0.11764,0.05405,0,0.6383,0.2,0.060602,0.197806,0.021738,0.203698,0.223411,0,0.297874,0.14925,0.093018,0.260005,0,0.111107,0.035712,0.124992,0.431039,0.124033,0.152175,0,0.051279,0.171872,0,0
0.199998,0.2,0.10465,0.034481,0.035085,0.08805,0.191488,0.124992,0,0.179999,0.406247,0.241381,0.13615,0,0.11764,0,0.181822,0.097824,0.234376,0.344821,0.34616,0,0,0.099994,0,0.113639,0,0.024389,0.223679,0.032785,0.034481,0,0.302332,0.133324,0.333338,0.434774,0.200002,0.138883,0.147065,0.027025,0.009345,0.191487,0.266661,0,0.252754,0.043475,0.111113,0.244686,0,0.212763,0.298501,0,0.179999,0,0.111107,0.035712,0.124992,0.241385,0.116281,0.1087,0.090903,0,0.468753,0,0
