@relation plant-texture

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99}

@data
0.061466,0.086091,0.033057,0.030305,0.194174,0,0.095746,0.198891,0.119405,0.043344,0.003426,0.071155,0,0,0,0,0.079873,0,0.094155,0.159412,0,0.021977,0.039998,0.014491,0,0.006451,0.197425,0,0.127276,0,0.109588,0,0,0.196131,0,0,0.001755,0.125564,0.158945,0.076467,0.016627,0,0.066299,0.393366,0.042549,0.127779,0.257429,0.054903,0,0.176474,0,0,0,0.043332,0.240917,0,0.011299,0.00488,0.211,0,0,0.005194,0,0.183013,0
0.011821,0.125831,0.024797,0,0.344663,0,0.07447,0.248614,0.134327,0,0,0.778855,0,0,0,0,0.105434,0,0.035714,0.202894,0,0,0.165004,0.007249,0,0,0.004294,0,0.131819,0.011369,0.09589,0,0,0.052486,0.045451,0,0,0.094173,0,0.005885,0,0,0.005527,0.009478,0.226943,0.083331,0.128709,0.14902,0,0.050422,0,0,0,0.040001,0.163634,0,0.101695,0,0.045871,0,0,0,0,0.01961,0
0.044918,0.092717,0.024797,0.018184,0.257285,0,0.106384,0.198891,0.114428,0.003097,0,0.411532,0,0,0,0,0.140577,0,0.058441,0.159412,0,0,0.180001,0.028983,0,0,0.064376,0,0.109095,0,0.089041,0,0,0.176793,0.034094,0,0,0.125564,0.033114,0.047055,0,0,0.071821,0.049763,0.241126,0.094447,0.257429,0.086274,0,0.033612,0,0,0,0.076667,0.363635,0,0.050848,0,0.018346,0,0,0,0,0.039214,0
0.085105,0.158945,0.008268,0,0.305826,0,0.117022,0.348059,0.054725,0.006192,0,0.438471,0,0,0,0,0.073483,0,0.029221,0.137679,0,0,0.185003,0,0,0,0.004294,0,0.163638,0,0.140409,0,0,0.220992,0.034094,0,0,0.179373,0.013244,0.029412,0,0,0.005527,0.011849,0.141837,0.144447,0.217817,0.078431,0,0.054621,0,0,0,0.033334,0.245456,0,0.152543,0,0.027524,0,0,0,0,0.150331,0
0.092198,0.099335,0.033057,0.006063,0.233012,0,0.122343,0.303863,0.099501,0.01548,0.003426,0.150001,0,0,0,0,0.063898,0,0.022728,0.260859,0,0.043954,0.170002,0,0,0,0.068669,0,0.150005,0,0.174656,0,0,0.207179,0,0,0,0.089686,0.112586,0.041176,0,0,0.071821,0.14218,0.13475,0.166669,0.207922,0.054903,0,0.151261,0,0,0,0.07,0.349997,0,0.016951,0,0.220178,0,0,0,0,0.104578,0
0.111109,0.119205,0,0.024241,0.223304,0,0.095746,0.204418,0.034826,0.009289,0,0.115386,0,0.005293,0,0,0.070287,0,0.038962,0.181153,0,0,0.185003,0.028983,0.01911,0,0.188841,0,0.086367,0,0.226023,0,0,0.284538,0.011369,0,0,0.116595,0.079472,0.052939,0.007127,0,0.132598,0.199052,0.15602,0.177779,0.326736,0.066669,0,0.021009,0,0,0,0.063334,0.256814,0,0.039549,0,0.082564,0,0,0.002599,0,0.202617,0
0.028369,0.086091,0.016528,0.006063,0.320391,0,0.079786,0.298337,0.084579,0.006192,0,0.426932,0,0.031744,0,0,0.028754,0,0.019479,0.181153,0,0.065937,0.120004,0,0.006372,0,0.012877,0.005717,0.213638,0,0.140409,0,0,0.085633,0.022726,0,0,0.107627,0.046358,0.135291,0,0,0.05525,0.016588,0.070922,0.138889,0.29703,0.14902,0.008551,0.277313,0,0,0,0.066666,0.220454,0,0.090396,0,0.15596,0,0,0,0,0.13726,0
0.082742,0.125831,0.041325,0,0.276701,0,0.122343,0.182321,0.00995,0.018575,0,0.150001,0,0,0,0,0.070287,0,0.06169,0.072464,0,0,0.325006,0,0,0.003227,0.04292,0.022855,0.018181,0.011369,0.034247,0,0,0.450272,0,0,0,0.224218,0.033114,0.141176,0.007127,0,0.022098,0.092417,0.276588,0.277779,0.14851,0.023528,0,0,0,0,0,0.063334,0.409085,0,0.050848,0,0.009177,0,0,0,0,0.084968,0
0.108746,0.086091,0,0.006063,0.349516,0,0.047873,0.215467,0.014927,0,0,0.138461,0,0,0,0,0.108627,0,0.006493,0.108689,0,0,0.135001,0,0.006372,0,0,0,0.013638,0,0.010275,0,0,0.408831,0,0,0,0.327358,0.033114,0.082351,0,0,0.038674,0.099527,0.390057,0.311116,0.089108,0.062746,0,0.016806,0,0,0,0,0.384091,0,0.333336,0,0.018346,0,0,0,0,0.163403,0
0.231676,0.013244,0.024797,0.090908,0.116508,0,0.186176,0.088397,0.094528,0.16099,0.003426,0.090384,0,0.042325,0,0,0.006389,0,0.084417,0.079706,0,0.087914,0.035001,0,0.050952,0.012903,0.227468,0,0.227276,0.011369,0.130134,0,0.004237,0.107734,0.022726,0,0,0.089686,0.51656,0.152939,0.026128,0,0.104973,0.097156,0.028366,0.011111,0.405939,0.011766,0.008551,0.147061,0,0,0.017753,0.096665,0.14318,0,0.022598,0,0.256871,0,0,0.007793,0,0.222227,0
